rowIndex,Name,mapId,slug,url,file_all,type,collection
305,Queens Village,6465a83b5909c50001f16769,queens-village,https://share.livexyz.com/maplist/6465a83b5909c50001f16769?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6465a83b5909c50001f16769__queens-village.jpg,geography,neighborhood
306,Bellerose,6465a83497b8c700016827dd,bellerose,https://share.livexyz.com/maplist/6465a83497b8c700016827dd?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6465a83497b8c700016827dd__bellerose.jpg,geography,neighborhood
307,Laurelton,6465a85297b8c700016827e2,laurelton,https://share.livexyz.com/maplist/6465a85297b8c700016827e2?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6465a85297b8c700016827e2__laurelton.jpg,geography,neighborhood
308,Rosedale,6465a86197b8c700016827e5,rosedale,https://share.livexyz.com/maplist/6465a86197b8c700016827e5?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6465a86197b8c700016827e5__rosedale.jpg,geography,neighborhood
309,Groups,,groups,https://share.livexyz.com/?theme=dark&tags=5a5cf15e051ced00043524c2&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_6854d47196__groups.jpg,category,groups
310,Auto,,auto,https://share.livexyz.com/?theme=dark&tags=5a45308338690d0004003f6d&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_617ca17aac__auto.jpg,category,auto
311,Transport,,transport,https://share.livexyz.com/?theme=dark&tags=5a5cfc50051ced000435277e&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_ad49a6c284__transport.jpg,category,transport
312,Municipal,,municipal,https://share.livexyz.com/?theme=dark&tags=59ea290e3a04ba000459f8e3&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_feb853e7b6__municipal.jpg,category,municipal
313,"Business, Commercial & Professional Services",,business-commercial-and-professional-services,https://share.livexyz.com/?theme=dark&tags=564607fd3a9d43000300040e&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_e8a0614c41__business-commercial-and-professional-services.jpg,category,misc
314,Sports & Recreation,,sports-and-recreation,https://share.livexyz.com/?theme=dark&tags=5819384f862a8200030b884b&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_dc7e6afb13__sports-and-recreation.jpg,category,parks & rec
315,"Auto Dealers, Repair & Care",,auto-dealers-repair-and-care,https://share.livexyz.com/?theme=dark&tags=5511be5f3d42bd0003000636&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_4afd84da37__auto-dealers-repair-and-care.jpg,category,auto
316,"Laundry, Cleaners & Tailors",,laundry-cleaners-and-tailors,https://share.livexyz.com/?theme=dark&tags=58193c3e862a8200030b8857&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_46275dad69__laundry-cleaners-and-tailors.jpg,category,services
317,Sweets & Desserts,,sweets-and-desserts,https://share.livexyz.com/?theme=dark&tags=56252e42a61e5400030050fd&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_661447d36b__sweets-and-desserts.jpg,category,food
318,Financial Services Center,,financial-services-center,https://share.livexyz.com/?theme=dark&tags=56dc73c2c55a626ccde5842a&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_f00ca8011d__financial-services-center.jpg,category,services
